recipe_id,raw_material_id,raw_material_ratio,flavour_id,flavour_ratio,ingredient_id,ingredient_ratio,heat_process,yield,generation_date,batch_number
PHMV,78,0.64,21,0.35,194,0.01,,92.79,7/5/24,1
VH45,197,0.18,176,0.69,169,0.13,,84.51,7/5/24,1
PKDS,148,0.32,260,0.67,214,0.01,50°C for 10 min,95.62,7/5/24,1
OINB,122,0.68,460,0.13,167,0.19,,90.83,7/5/24,1
N1O5,33,0.05,111,0.59,59,0.36,70°C for 10 min,97.21,7/5/24,1
0J9D,33,0.9,25,0.09,286,0.01,Steaming,98.15,7/5/24,1
ZVHO,12,0.5,370,0.4,156,0.1,,30.19,7/5/24,1
3NPN,174,0.65,193,0.34,117,0.01,70°C for 10 min,94.73,7/5/24,1
VI3B,123,0.29,195,0.7,90,0.01,Freezing for 20 min,91.19,7/5/24,1
MXBK,144,0.61,160,0.33,124,0.06,,98.21,7/5/24,1
65VW,6,0.47,76,0.1,107,0.43,,92.54,7/5/24,1
IS9W,198,0.58,344,0.41,26,0.01,70°C for 10 min,79.4,7/5/24,1
SEIB,167,0.96,2,0.03,182,0.01,,95.05,7/5/24,1
BCH4,45,0.2,319,0.79,69,0.01,,96.79,7/5/24,1
BE7E,39,0.88,231,0.11,62,0.01,,76.24,7/5/24,1
GTC9,40,0.61,233,0.38,96,0.01,50°C for 10 min,96.5,7/5/24,1
ZHZS,63,0.64,423,0.35,59,0.01,,95.77,7/5/24,1
Y9P1,103,0.57,36,0.42,259,0.01,,92.88,7/5/24,1
649E,87,0.67,490,0.32,97,0.01,,90.56,7/5/24,1
XGLR,59,0.09,222,0.65,203,0.26,,92.48,7/5/24,1
0CN1,125,0.7,164,0.29,100,0.01,Freezing for 20 min,96.71,7/5/24,1
8ZWK,28,0.12,481,0.57,9,0.31,,36.67,7/5/24,1
05XW,59,0.26,1,0.2,174,0.54,Freezing for 20 min,92.75,7/5/24,1
IT7V,78,0.44,52,0.48,118,0.08,,93.51,7/5/24,1
08EZ,90,0.56,138,0.4,186,0.04,,94.22,7/5/24,1
YBF8,162,0.69,489,0.3,272,0.01,,75.54,7/5/24,1
MY2R,44,0.22,103,0.77,281,0.01,,92.67,7/5/24,1
HHTR,100,0.59,15,0.4,246,0.01,,99.43,7/5/24,1
PSW2,120,0.67,69,0.07,52,0.26,,99.82,7/5/24,1
P02B,12,0.54,5,0.45,57,0.01,Freezing for 20 min,97.62,7/5/24,1
2Z4Q,124,0.23,230,0.31,230,0.46,Steaming,92.56,7/5/24,1
ARSK,36,0.38,172,0.61,33,0.01,,96.14,7/5/24,1
AHVX,12,0.38,293,0.61,80,0.01,,91.05,7/5/24,1
VNJA,196,0.67,304,0.32,20,0.01,70°C for 10 min,94.37,7/5/24,1
N7KV,198,0.38,427,0.4,245,0.22,Steaming,90.19,7/5/24,1
USDH,167,0.64,274,0.04,177,0.32,Freezing for 20 min,94.07,7/5/24,1
MTAW,63,0.71,432,0.11,132,0.18,,98.42,7/5/24,1
7B3P,17,0.6,334,0.39,71,0.01,20°C for 60 min,90.7,7/5/24,1
HHNR,144,0.27,464,0.72,261,0.01,,92.25,7/5/24,1
CFS8,89,0.89,162,0.1,116,0.01,,90.8,7/5/24,1
6F9W,24,0.93,91,0.06,15,0.01,,97.93,7/5/24,1
JULL,95,0.89,6,0.04,187,0.07,,99.03,7/5/24,1
GRIQ,10,0.19,241,0.4,5,0.41,70°C for 10 min,95.56,7/5/24,1
CZD3,186,0.63,14,0.18,161,0.19,,97.58,7/5/24,1
GISP,51,0.06,145,0.27,297,0.67,Steaming,98.45,7/5/24,1
8BD2,139,0.79,109,0.2,134,0.01,50°C for 10 min,93.33,7/5/24,1
NBF2,64,0.27,149,0.06,171,0.67,,94.51,7/5/24,1
WS3T,101,0.83,345,0.16,299,0.01,,94.29,7/5/24,1
Q941,108,0.7,213,0.29,276,0.01,20°C for 60 min,96.89,7/5/24,1
WGI5,40,0.11,280,0.56,29,0.33,Steaming,92.75,7/5/24,1
7OFM,198,0.28,286,0.12,172,0.6,,99.76,7/5/24,1
CU76,159,0.46,399,0.15,46,0.39,70°C for 10 min,90.17,7/5/24,1
5N7T,194,0.43,497,0.56,103,0.01,,99.81,7/5/24,1
81C2,182,0.48,65,0.37,3,0.15,,98.63,7/5/24,1
VJKY,122,0.34,146,0.11,205,0.55,Freezing for 20 min,95.31,7/5/24,1
FC7Y,189,0.69,27,0.3,28,0.01,,91.84,7/5/24,1
N94E,15,0.12,323,0.2,144,0.68,20°C for 60 min,97.94,7/5/24,1
O5BN,43,0.19,74,0.8,9,0.01,70°C for 10 min,94,7/5/24,1
GW00,12,0.15,163,0.58,172,0.27,,90.46,7/5/24,1
TDJI,68,0.22,89,0.77,282,0.01,,92.63,7/5/24,1
R4FJ,78,0.39,422,0.38,82,0.23,Steaming,97.71,7/5/24,1
8U1E,54,0.48,281,0.51,149,0.01,50°C for 10 min,66.13,7/5/24,1
ZEVY,167,0.94,12,0.05,61,0.01,,93.63,7/5/24,1
08T1,76,0.56,291,0.43,31,0.01,,22.58,7/5/24,1
MM3N,56,0.64,76,0.35,144,0.01,,99.19,7/5/24,1
L58O,107,0.5,184,0.09,286,0.41,20°C for 60 min,94.55,7/5/24,1
E8WX,29,0.15,54,0.31,173,0.54,,99.36,7/5/24,1
FHE0,166,0.54,359,0.45,46,0.01,,92.21,7/5/24,1
8Y3W,12,0.65,466,0.34,79,0.01,,95.22,7/5/24,1
1QV2,198,0.36,69,0.63,233,0.01,,93.25,7/5/24,1
1K2U,159,0.97,69,0.02,257,0.01,,98.94,7/5/24,1
X67O,44,0.52,470,0.47,197,0.01,,96.55,7/5/24,1
ERXX,2,0.25,86,0.69,55,0.06,,97.22,7/5/24,1
GT6Y,167,0.52,366,0.47,111,0.01,,95,7/5/24,1
CD58,144,0.05,117,0.43,146,0.52,,99.26,7/5/24,1
OZJX,147,0.2,214,0.04,141,0.76,70°C for 10 min,95.72,7/5/24,1
FPHP,158,0.93,473,0.06,205,0.01,,98.58,7/5/24,1
N478,12,0.71,492,0.28,74,0.01,20°C for 60 min,99.3,7/5/24,1
D746,77,0.19,185,0.44,259,0.37,,91.84,7/5/24,1
MFRC,22,0.31,252,0.68,226,0.01,,98.27,7/5/24,1
55VV,173,0.19,380,0.12,231,0.69,,98.26,7/5/24,1
OV2Q,128,0.9,364,0.09,146,0.01,,92.58,7/5/24,1
2026,70,0.19,122,0.4,95,0.41,,95.46,7/5/24,1
JJFZ,12,0.22,355,0.17,104,0.61,50°C for 10 min,90.05,7/5/24,1
02UP,64,0.91,141,0.08,238,0.01,,98.04,7/5/24,1
